model,parameter,h,time,homo_trace,hetero_trace
JR,v0,1.0,0.443,2.9318893089882274,2.94608468657641
JR,v0,1.0,0.444,2.9407056698735268,2.9552552463520074
JR,v0,1.0,0.445,2.949591240995158,2.9645163724169157
JR,v0,1.0,0.446,2.95854575671585,2.973872223930442
JR,v0,1.0,0.447,2.9675710219668123,2.983328500895667
JR,v0,1.0,0.448,2.9766709122477417,2.992892024138139
JR,v0,1.0,0.449,2.9858513736268155,3.0025693301143686
JR,v0,1.0,0.45,2.995120422740696,3.012364950314799
JR,v0,1.0,0.451,3.0044881467945266,3.022284342469667
JR,v0,1.0,0.452,3.013966703561937,3.0323324579020277
JR,v0,1.0,0.453,3.0235701555240544,3.042512882662662
JR,v0,1.0,0.454,3.0333018085174466,3.052829581686209
JR,v0,1.0,0.455,3.043154294801366,3.063287188492057
JR,v0,1.0,0.456,3.0531238189102394,3.073890801985042
JR,v0,1.0,0.457,3.0632091027807316,3.0846463433993794
JR,v0,1.0,0.458,3.073411385751745,3.0955613420932537
JR,v0,1.0,0.459,3.0837344245644163,3.1066449767858995
JR,v0,1.0,0.46,3.0941844933621216,3.117907106906233
JR,v0,1.0,0.461,3.1047703836904708,3.1293546507503702
JR,v0,1.0,0.462,3.115503404497314,3.1409946728178166
JR,v0,1.0,0.463,3.126397382132735,3.152835982954967
JR,v0,1.0,0.464,3.1374686603490543,3.164886590747062
JR,v0,1.0,0.465,3.1487342902874675,3.177153679104884
JR,v0,1.0,0.466,3.16019322539668,3.1896453850760595
JR,v0,1.0,0.467,3.1718391810281337,3.2023699188055526
JR,v0,1.0,0.468,3.1836698445970186,3.215337126728908
JR,v0,1.0,0.46900000000000003,3.195686210097102,3.228558636923739
JR,v0,1.0,0.47000000000000003,3.2078925781007315,3.242048741228321
JR,v0,1.0,0.47100000000000003,3.220296555758825,3.255822480843305
JR,v0,1.0,0.47200000000000003,3.232909056800884,3.2698912296584757
JR,v0,1.0,0.47300000000000003,3.2457443015349825,3.284265805265365
JR,v0,1.0,0.47400000000000003,3.2588198168477747,3.2989600858781585
JR,v0,1.0,0.47500000000000003,3.272156436204491,3.3139896442202104
JR,v0,1.0,0.47600000000000003,3.2857782996489364,3.329369880478047
JR,v0,1.0,0.47700000000000004,3.2997020747824006,3.345115837682507
JR,v0,1.0,0.47800000000000004,3.3139215992301194,3.3612427657953994
JR,v0,1.0,0.47900000000000004,3.3284337201679994,3.3777686515764973
JR,v0,1.0,0.48,3.343240023716273,3.3947149201596005
JR,v0,1.0,0.481,3.358346829716565,3.41210654660819
JR,v0,1.0,0.482,3.3737651917318883,3.4299681735724916
JR,v0,1.0,0.483,3.389510897046648,3.4483179815107685
JR,v0,1.0,0.484,3.405604466666639,3.467176490444443
JR,v0,1.0,0.485,3.422071155319046,3.4865692703657247
JR,v0,1.0,0.486,3.438940951452445,3.5065253619285692
JR,v0,1.0,0.487,3.456248577236804,3.52707719709976
JR,v0,1.0,0.488,3.4740282643948244,3.548254697250129
JR,v0,1.0,0.489,3.4922829525541816,3.5700899667198023
JR,v0,1.0,0.49,3.5110096529881916,3.5926208824182977
JR,v0,1.0,0.491,3.530213030839655,3.615891681170873
JR,v0,1.0,0.492,3.5499051866564213,3.6399488772432913
JR,v0,1.0,0.493,3.570105656391397,3.6648295376628757
JR,v0,1.0,0.494,3.590841411402538,3.6905706217893233
JR,v0,1.0,0.495,3.6121468584528564,3.717217718593588
JR,v0,1.0,0.496,3.634063839710414,3.7448258078799417
JR,v0,1.0,0.497,3.656641632748327,3.77345290141855
